year,player,gp,g,a,pts,sh,gw,gb,dc,to,ct,fouls
2025,Emma Ward,19,30,46,76,77,1,6,0,41,2,9
2025,Caroline Trinkaus,19,32,11,43,72,4,6,8,16,5,6
2025,Emma Muchnick,19,34,7,41,71,2,27,13,31,9,8
2025,Gracie Britton,19,20,10,30,41,0,8,1,16,0,2
2025,Alexa Vogelman,19,21,6,27,46,0,25,31,27,13,26
2025,Mileena Cotter,19,21,2,23,50,1,11,24,26,10,29
2025,Joely Caramelli,19,16,4,20,46,0,23,39,8,11,30
2025,Molly Guzik,19,14,5,19,34,0,15,13,14,8,15
2025,Ashlee Volpe,12,14,2,16,31,0,5,0,10,1,2
2025,Olivia Adamson,3,10,6,16,18,1,2,5,7,1,1
2025,Carlie Desimone,15,3,9,12,12,0,8,0,7,2,4
2025,Sam DeVito,19,8,2,10,12,0,22,11,11,13,14
2025,Annie Parker,15,6,1,7,13,1,1,1,4,0,0
2025,Bri Peters,3,2,1,3,3,0,1,0,1,0,0
2025,Mackenzie Rich,5,1,0,1,1,0,1,0,0,0,2
2025,Meghan Rode,17,1,0,1,3,0,1,75,4,0,17
2025,Payton Rowley,6,1,0,1,3,0,0,0,2,0,0
2025,Julia Basciano,2,0,0,0,0,0,0,0,0,0,1
2025,Kaci Benoit,19,0,0,0,2,0,34,13,5,12,51
2025,Chloe Bethea-Jones,4,0,0,0,0,0,1,0,0,0,0
2025,Ella Blesi,5,0,0,0,0,0,2,0,2,0,3
2025,Kendall Boggs,5,0,0,0,0,0,0,0,0,0,1
2025,Superia Clark,16,0,0,0,0,0,14,2,7,13,46
2025,Daniella Guyette,19,0,0,0,0,0,28,0,8,2,0
2025,Allie Hanlon,3,0,0,0,0,0,1,0,0,0,0
2025,Ana Horvit,12,0,0,0,0,0,6,0,2,2,15
2025,Izzy Lahah,6,0,0,0,2,0,7,1,1,8,9
2025,Alice Nash,1,0,0,0,0,0,0,0,0,0,0
2025,McKenzie Olsen,2,0,0,0,0,0,0,0,0,0,0
2025,Ava Peers,1,0,0,0,0,0,0,0,0,0,0
2025,Lexi Reber,8,0,0,0,1,0,5,1,2,1,16
2025,Coco Vandiver,19,0,0,0,0,0,34,1,3,40,51
2025,Team,15,1,0,1,0,0,1,1,15,0,15
